"arabic","brazilian","bulgarian","czech","danish","dutch","english","finnish","french","german","greek","hungarian","italian","japanese","koreana","latam","norwegian","polish","portuguese","romanian","russian","schinese","spanish","swedish","tchinese","thai","turkish","ukrainian","vietnamese"
"جارٍ تهيئة Steam...","Inicializando Steam...","Инициализиране на Steam...","Inicializace Steamu...","Initialiserer Steam...","Steam initialiseren...","Initializing Steam...","Alustetaan Steam...","Initialisation de Steam...","Initialisiere Steam...","Αρχικοποίηση Steam...","Steam inicializálása...","Inizializzando Steam...","Steamを初期化中...","Steam 초기화 중...","Inicializando Steam...","Initialiserer Steam...","Inicjalizacja Steam...","Inicializando Steam...","Inițializare Steam...","Инициализация Steam...","正在初始化Steam...","Inicializando Steam...","Initierar Steam...","正在初始化Steam...","กำลังเริ่มต้น Steam...","Steam başlatılıyor...","Ініціалізація Steam...","Đang khởi tạo Steam..."
"جارٍ تهيئة الصوت...","Inicializando Áudio...","Инициализиране на аудиото...","Inicializace zvuku...","Initialiserer lyd...","Audio initialiseren...","Initializing Audio...","Alustetaan Ääntä...","Initialisation de l'Audio...","Initialisiere Audio...","Αρχικοποίηση Ήχου...","Audio inicializálása...","Inizializzando l'Audio...","オーディオを初期化中...","오디오 초기화 중...","Inicializando Audio...","Initialiserer Lyd...","Inicjalizacja Dźwięku...","Inicializando Áudio...","Inițializare Audio...","Инициализация Аудио...","正在初始化音频...","Inicializando Audio...","Initierar Ljud...","正在初始化音頻...","กำลังเริ่มต้นเสียง...","Ses başlatılıyor...","Ініціалізація аудіо...","Đang khởi tạo Âm thanh..."
"جارٍ تهيئة لوحة اللعبة...","Inicializando Tabuleiro de Jogo...","Инициализиране на игралното поле...","Inicializace herního pole...","Initialiserer spilleplade...","Spelbord initialiseren...","Initializing Gameboard...","Alustetaan Pelilautaa...","Initialisation du Plateau de Jeu...","Initialisiere Spielbrett...","Αρχικοποίηση Πίνακα Παιχνιδιού...","Játéktábla inicializálása...","Inizializzando il Tabellone...","ゲームボードを初期化中...","게임보드 초기화 중...","Inicializando Tablero de Juego...","Initialiserer Spillbrett...","Inicjalizacja Planszy do Gry...","Inicializando Tabuleiro...","Inițializare Tablă de Joc...","Инициализация Игрового поля...","正在初始化游戏面板...","Inicializando Tablero de Juego...","Initierar Spelbräde...","正在初始化遊戲版...","กำลังเริ่มต้นกระดานเกม...","Oyun Tahtası başlatılıyor...","Ініціалізація ігрового поля...","Đang khởi tạo Bàn cờ..."
"جارٍ تهيئة الرسوميات...","Inicializando Gráficos...","Инициализиране на графиката...","Inicializace grafiky...","Initialiserer grafik...","Grafische weergave initialiseren...","Initializing Graphics...","Alustetaan Grafiikkaa...","Initialisation des Graphismes...","Initialisiere Grafik...","Αρχικοποίηση Γραφικών...","Grafika inicializálása...","Inizializzando la Grafica...","グラフィックスを初期化中...","그래픽 초기화 중...","Inicializando Gráficos...","Initialiserer Grafikk...","Inicjalizacja Grafiki...","Inicializando Gráficos...","Inițializare Grafică...","Инициализация Графики...","正在初始化图形...","Inicializando Gráficos...","Initierar Grafik...","正在初始化圖形...","กำลังเริ่มต้นกราฟิก...","Grafikler başlatılıyor...","Ініціалізація графіки...","Đang khởi tạo Đồ họa..."
"جارٍ تهيئة النافذة...","Inicializando Janela...","Инициализиране на прозореца...","Inicializace okna...","Initialiserer vindue...","Venster initialiseren...","Initializing Window...","Alustetaan Ikkunaa...","Initialisation de la Fenêtre...","Initialisiere Fenster...","Αρχικοποίηση Παραθύρου...","Ablak inicializálása...","Inizializzando la Finestra...","ウィンドウを初期化中...","창 초기화 중...","Inicializando Ventana...","Initialiserer Vindu...","Inicjalizacja Okna...","Inicializando Janela...","Inițializare Fereastră...","Инициализация Окна...","正在初始化窗口...","Inicializando Ventana...","Initierar Fönster...","正在初始化窗口...","กำลังเริ่มต้นหน้าต่าง...","Pencere başlatılıyor...","Ініціалізація вікна...","Đang khởi tạo Cửa sổ..."
"سهل","Fácil","Лесно","Snadný","Nem","Makkelijk","Easy","Helppo","Facile","Einfach","Εύκολο","Könnyű","Facile","イージー","쉬움","Fácil","Enkel","Łatwy","Fácil","Ușor","Легкий","简单","Fácil","Lätt","簡單","ง่าย","Kolay","Легкий","Dễ"
"عادي","Normal","Нормално","Normální","Normal","Normaal","Normal","Normaali","Normal","Normal","Κανονικό","Normál","Normale","ノーマル","보통","Normal","Normal","Normalny","Normal","Normal","Нормальный","普通","Normal","Normal","普通","ปกติ","Normal","Нормальний","Bình thường"
"صعب","Difícil","Трудно","Těžký","Svær","Moeilijk","Hard","Vaikea","Difficile","Schwer","Δύσκολο","Nehéz","Difficile","ハード","어려움","Difícil","Vanskelig","Trudny","Difícil","Dificil","Сложный","困难","Difícil","Svår","困難","ยาก","Zor","Складний","Khó"
"لعبة جديدة","Novo Jogo","Нова игра","Nová hra","Nyt spil","Nieuw Spel","New Game","Uusi Peli","Nouveau Jeu","Neues Spiel","Νέο Παιχνίδι","Új Játék","Nuova Partita","新しいゲーム","새 게임","Nuevo Juego","Nytt Spill","Nowa Gra","Novo Jogo","Joc Nou","Новая Игра","新游戏","Nuevo Juego","Nytt Spel","新遊戲","เกมใหม่","Yeni Oyun","Нова гра","Trò chơi mới"
"استراحة","Pausa","Пауза","Pauza","Pause","Pauze","Pause","Tauko","Pause","Pause","Παύση","Szünet","Pausa","一時停止","일시 정지","Pausa","Pause","Pauza","Pausa","Pauză","Пауза","暂停","Pausa","Paus","暫停","หยุดชั่วคราว","Duraklat","Пауза","Tạm dừng"
"إضافة خط","Adicionar Linha","Добавяне на ред","Přidat řádek","Tilføj linje","Lijn Toevoegen","Add Line","Lisää Rivi","Ajouter une Ligne","Zeile hinzufügen","Προσθήκη Γραμμής","Sor hozzáadása","Aggiungi Linea","ラインを追加","줄 추가","Agregar Línea","Legg til Linje","Dodaj Linię","Adicionar Linha","Adaugă Linie","Добавить Линию","添加行","Agregar Línea","Lägg till Rad","添加行","เพิ่มบรรทัด","Satır Ekle","Додати рядок","Thêm Dòng"
"مساعدة","Ajuda","Помощ","Nápověda","Hjælp","Help","Help","Apua","Aide","Hilfe","Βοήθεια","Súgó","Aiuto","ヘルプ","도움말","Ayuda","Hjelp","Pomoc","Ajuda","Ajutor","Помощь","帮助","Ayuda","Hjälp","幫助","ช่วยเหลือ","Yardım","Допомога","Trợ giúp"
"حول","Sobre","Относно","O hře","Om","Over","About","Tietoja","À propos","Über","Σχετικά","Névjegy","Informazioni","情報","정보","Acerca de","Om","O Programie","Sobre","Despre","О программе","关于","Acerca de","Om","關於","เกี่ยวกับ","Hakkında","Про","Về"
"الإعدادات","Configurações","Настройки","Nastavení","Indstillinger","Instellingen","Settings","Asetukset","Paramètres","Einstellungen","Ρυθμίσεις","Beállítások","Impostazioni","設定","설정","Configuración","Innstillinger","Ustawienia","Configurações","Setări","Настройки","设置","Configuración","Inställningar","設置","ตั้งค่า","Ayarlar","Налаштування","Cài đặt"
"لوحة الصدارة","Placar","Класиране","Žebříček","Leaderboard","Scorebord","Leadboard","Tulostaulu","Classement","Bestenliste","Πίνακας Αρχηγών","Vezetői tábla","Classifica","リーダーボード","리더보드","Tabla de Líderes","Ledertavle","Tabela Liderów","Placar","Clasament","Таблица Лидеров","排行榜","Tabla de Líderes","Ledartavla","排行榜","ตารางคะแนน","Lider Tablosu","Табло лідерів","Bảng xếp hạng"
"الصوت","Som","Звук","Zvuk","Lyd","Geluid","Sound","Ääni","Son","Ton","Ήχος","Hang","Suono","サウンド","소리","Sonido","Lyd","Dźwięk","Som","Sunet","Звук","声音","Sonido","Ljud","聲音","เสียง","Ses","Звук","Âm thanh"
"الموسيقى","Música","Музика","Hudba","Musik","Muziek","Music","Musiikki","Musique","Musik","Μουσική","Zene","Musica","音楽","음악","Música","Musikk","Muzyka","Música","Muzică","Музыка","音乐","Música","Musik","音樂","เพลง","Müzik","Музика","Nhạc"
"وضع السحب","Modo de Arrastar","Режим на влачене","Režim táhnutí","Træktilstand","Sleepmodus","Drag Mode","Raahaustila","Mode Glisser","Ziehmodus","Λειτουργία Σύρσης","Húzás Mód","Modalità Trascinamento","ドラッグモード","드래그 모드","Modo de Arrastre","Dra Modus","Tryb Przeciągania","Modo de Arrastar","Mod Drag","Режим Перетаскивания","拖动模式","Modo de Arrastre","Dra-läge","拖動模式","โหมดลาก","Sürükleme Modu","Режим перетягування","Chế độ Kéo"
"عرض الأرقام","Exibição de Números","Показване на номера","Zobrazení čísel","Nummervisning","Nummerweergave","Number Display","Numeron Näyttö","Affichage des Numéros","Nummernanzeige","Εμφάνιση Αριθμού","Szám Megjelenítése","Visualizzazione Numeri","番号表示","번호 표시","Visualización de Números","Nummervisning","Wyświetlanie Numerów","Exibição de Número","Afișare Număr","Отображение Номеров","数字显示","Visualización de Números","Nummervisning","數字顯示","การแสดงตัวเลข","Numara Görüntüleme","Відображення номерів","Hiển thị Số"
"الجلد","Skin","Кожа","Skin","Skin","Skin","Skin","Ulkoasu","Skin","Skin","Επιδερμίδα","Skin","Skin","スキン","스킨","Piel","Skin","Skórka","Skin","Skin","Скин","皮肤","Aspecto","Skin","皮膚","สกิน","Skin","Скін","Skin"
"لقطة شاشة","Captura de Tela","Снимка на екрана","Snímek obrazovky","Skærmbillede","Schermafbeelding","Screenshot","Kuvakaappaus","Capture d'écran","Screenshot","Στιγμιότυπο","Képernyőkép","Screenshot","スクリーンショット","스크린샷","Captura de Pantalla","Skjermbilde","Zrzut Ekranu","Captura de Tela","Screenshot","Скриншот","截图","Captura de Pantalla","Skärmbild","截圖","ภาพหน้าจอ","Ekran Görüntüsü","Скріншот","Ảnh chụp màn hình"
"خروج","Sair","Изход","Konec","Afslut","Afsluiten","Exit","Poistu","Quitter","Beenden","Έξοδος","Kilépés","Esci","終了","종료","Salir","Avslutt","Wyjście","Sair","Ieșire","Выход","退出","Salir","Avsluta","退出","ออก","Çıkış","Вихід","Thoát"
"تكبير/تصغير","Zoom","Увеличение","Zoom","Zoom","Zoom","Zoom","Zoomaus","Zoom","Zoom","Ζουμ","Nagyítás","Zoom","ズーム","확대","Zoom","Zoom","Powiększenie","Zoom","Zoom","Увеличение","缩放","Zoom","Zooma","縮放","ซูม","Yakınlaştır","Масштаб","Phóng to"
"الرسوم المتحركة","Animação","Анимация","Animace","Animation","Animatie","Animation","Animaatio","Animation","Animation","Κίνηση","Animáció","Animazione","アニメーション","애니메이션","Animación","Animasjon","Animacja","Animação","Animație","Анимация","动画","Animación","Animation","動畫","แอนิเมชัน","Animasyon","Анімація","Hoạt ảnh"
"المؤشر","Cursor","Курсор","Kurzor","Cursor","Cursor","Cursor","Kursori","Curseur","Cursor","Κέρσορας","Kurzor","Cursore","カーソル","커서","Cursor","Markør","Kursor","Cursor","Cursor","Курсор","光标","Cursor","Kursor","光標","เคอร์เซอร์","İmleç","Курсор","Con trỏ"
"تشغيل","Ligado","Включено","Zapnuto","Tændt","Aan","On","Päällä","Activé","Ein","Ενεργό","Be","Acceso","オン","켜짐","Encendido","På","Włączony","Ligado","Pornește","Включено","开","Encendido","På","開","เปิด","Açık","Увімкнуто","Bật"
"إيقاف","Desligado","Изключено","Vypnuto","Slukket","Uit","Off","Pois","Désactivé","Aus","Ανενεργό","Ki","Spento","オフ","꺼짐","Apagado","Av","Wyłączony","Desligado","Oprește","Выключено","关","Apagado","Av","關","ปิด","Kapalı","Вимкнуто","Tắt"
"بدون سحب","Sem Arrastar","Без влачене","Bez táhnutí","Ingen træk","Geen Sleep","No Drag","Ei Raahausta","Pas de Glisser","Kein Ziehen","Χωρίς Σύρση","Nincs Húzás","Nessun Trascinamento","ドラッグなし","드래그 없음","Sin Arrastre","Ingen Dra","Bez Przeciągania","Sem Arrastar","Fără Drag","Без Перетаскивания","无拖动","Sin Arrastre","Ingen Dragning","無拖動","ไม่มีการลาก","Sürükleme Yok","Без перетягування","Không Kéo"
"بدون أرقام","Sem Números","Без номера","Bez čísel","Ingen numre","Geen Nummer","No Number","Ei Numeroa","Pas de Numéro","Keine Nummer","Χωρίς Αριθμό","Nincs Szám","Nessun Numero","番号なし","번호 없음","Sin Número","Ingen Nummer","Bez Numerów","Sem Número","Fără Număr","Без Номеров","无数字","Sin Número","Inget Nummer","無數字","ไม่มีตัวเลข","Numara Yok","Без номерів","Không Số"
"سحب الأرقام","Arrastar Número","Влачене на номера","Táhnutí čísel","Træk numre","Sleep Nummer","Drag Number","Raahaa Numero","Glisser les Numéros","Nummer ziehen","Σύρση Αριθμού","Szám Húzása","Trascina Numero","番号をドラッグ","번호 드래그","Arrastrar Número","Dra Nummer","Przeciągaj Numery","Arrastar Número","Drag Număr","Перетаскивать Номера","拖动数字","Arrastrar Número","Dra Nummer","拖動數字","ลากตัวเลข","Numarayı Sürükle","Перетягувати номера","Kéo Số"
"سحب الكل","Arrastar Tudo","Влачене на всичко","Táhnutí všeho","Træk alt","Sleep Alles","Drag All","Raahaa Kaikki","Glisser Tout","Alles ziehen","Σύρση Όλων","Minden Húzása","Trascina Tutto","すべてをドラッグ","모두 드래그","Arrastrar Todo","Dra Alt","Przeciągaj Wszystko","Arrastar Tudo","Drag Tot","Перетаскивать Всё","拖动全部","Arrastrar Todo","Dra Alla","拖動所有","ลากทั้งหมด","Her Şeyi Sürükle","Перетягувати все","Kéo Tất cả"
"أوتوماتيكي","Automático","Автоматично","Automaticky","Automatisk","Automatisch","Automatic","Automaattinen","Automatique","Automatisch","Αυτόματο","Automatikus","Automatico","自動","자동","Automático","Automatisk","Automatyczny","Automático","Automat","Автоматически","自动","Automático","Automatisk","自動","อัตโนมัติ","Otomatik","Автоматично","Tự động"
"تكبير الشاشة","Maximizar","Максимизиране","Maximalizovat","Maksimer","Maximaliseren","Maximize","Suurenna","Maximiser","Maximieren","Μεγιστοποίηση","Maximalizálás","Massimizza","最大化","최대화","Maximizar","Maksimer","Maksymalizacja","Maximizar","Maximizează","Максимизировать","最大化","Maximizar","Maximera","最大化","ขยายใหญ่สุด","Maksimize Et","Максимізувати","Phóng to tối đa"
"مُشرق","Claro","Ярко","Světlý","Lys","Helder","Bright","Kirkas","Lumineux","Hell","Φωτεινό","Világos","Luminoso","明るい","밝음","Brillante","Lys","Jasny","Claro","Luminos","Яркий","明亮","Brillante","Ljus","明亮","สว่าง","Aydınlık","Яскравий","Sáng"
"مُظلم","Escuro","Тъмно","Tmavý","Mørk","Donker","Dark","Tumma","Sombre","Dunkel","Σκοτεινό","Sötét","Scuro","暗い","어두움","Oscuro","Mørk","Ciemny","Escuro","Întunecat","Тёмный","黑暗","Oscuro","Mörk","黑暗","มืด","Karanlık","Темний","Tối"
"ماينكرافت","Minecraft","Minecraft","Minecraft","Minecraft","Minecraft","Minecraft","Minecraft","Minecraft","Minecraft","Minecraft","Minecraft","Minecraft","マインクラフト","마인크래프트","Minecraft","Minecraft","Minecraft","Minecraft","Minecraft","Майнкрафт","Minecraft","Minecraft","Minecraft","Minecraft","ไมน์คราฟต์","Minecraft","Minecraft","Minecraft"
"جليد","Gelo","Лед","Led","Is","IJs","Ice","Jää","Glace","Eis","Πάγος","Jég","Ghiaccio","氷","얼음","Hielo","Is","Lód","Gelo","Gheață","Лёд","冰","Hielo","Is","冰","น้ำแข็ง","Buz","Лід","Băng"
"غابة","Selva","Джунгла","Džungle","Jungle","Jungle","Jungle","Viidakko","Jungle","Dschungel","Ζούγκλα","Dzsungel","Giungla","ジャングル","정글","Selva","Jungel","Dżungla","Selva","Junglă","Джунгли","丛林","Selva","Djungel","叢林","ป่า","Orman","Джунглі","Rừng"
"حمم","Lava","Лава","Láva","Lava","Lava","Lava","Laava","Lave","Lava","Λάβα","Láva","Lava","溶岩","용암","Lava","Lava","Lawa","Lava","Lavă","Лава","熔岩","Lava","Lava","熔岩","ลาวา","Lav","Лава","Nham thạch"
"المجموع","Total","Общо","Celkem","Total","Totaal","Total","Kokonaisuus","Total","Gesamt","Σύνολο","Összesen","Totale","合計","총계","Total","Totalt","Łącznie","Total","Total","Итого","总计","Total","Totalt","總計","รวม","Toplam","Загалом","Tổng cộng"
"فردي","Único","Единично","Samostatně","Enkelt","Enkel","Single","Yksittäinen","Unique","Einzeln","Μονό","Egyedül","Singolo","シングル","단일","Individual","Enkelt","Pojedynczo","Único","Singur","Одиночный","单个","Individual","Enkel","單個","เดี่ยว","Tek","Один","Đơn"
"x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1","x1"
"x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5","x1.5"
"x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2","x2"
"x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5","x2.5"
"x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3","x3"
"x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5","x3.5"
"x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4","x4"
